,participant,parent index,left child index,right child index,path_resp.keys,path_resp.rt,left distance,right distance,parent cluster,left child cluster,right child cluster,left_option,right_option,left_right_option,left_right_distance,right_closer,walk_length
0,241032.0,5.0,8.0,2.0,right,3.3533050464466214,2.0,2.0,B,B,A,within,across,within_across,0.0,1,300.0
1,241032.0,2.0,0.0,8.0,right,7.79804546944797,2.0,4.0,A,A,B,within,across,within_across,-2.0,1,300.0
2,241032.0,5.0,4.0,6.0,right,1.738303592428565,1.0,1.0,B,A,B,across,within,across_within,0.0,1,300.0
3,241032.0,2.0,4.0,9.0,right,1.3998434618115425,1.0,5.0,A,A,B,within,across,within_across,-4.0,1,300.0
4,241032.0,4.0,7.0,1.0,left,1.290385608561337,2.0,2.0,A,B,A,across,within,across_within,0.0,0,300.0
5,241032.0,5.0,3.0,8.0,right,2.1619601929560304,2.0,2.0,B,A,B,across,within,across_within,0.0,1,300.0
6,241032.0,6.0,5.0,2.0,left,5.951337174512446,1.0,3.0,B,B,A,within,across,within_across,-2.0,0,300.0
7,241032.0,6.0,0.0,9.0,left,1.4438430275768042,5.0,2.0,B,A,B,across,within,across_within,3.0,0,300.0
8,241032.0,9.0,4.0,7.0,right,1.0213026637211442,4.0,2.0,B,A,B,across,within,across_within,2.0,1,300.0
9,241032.0,0.0,3.0,7.0,left,0.999890730716288,2.0,5.0,A,A,B,within,across,within_across,-3.0,0,300.0
10,241032.0,3.0,8.0,1.0,right,2.2357262587174773,4.0,1.0,A,B,A,across,within,across_within,3.0,1,300.0
11,241032.0,4.0,6.0,1.0,left,1.805322133935988,2.0,2.0,A,B,A,across,within,across_within,0.0,0,300.0
12,241032.0,4.0,5.0,3.0,right,2.4633155837655067,1.0,1.0,A,B,A,across,within,across_within,0.0,1,300.0
13,241032.0,2.0,1.0,3.0,left,0.9362221052870154,1.0,1.0,A,A,A,within,within,within_within,0.0,0,300.0
14,241032.0,6.0,9.0,1.0,left,1.349468550644815,2.0,4.0,B,B,A,within,across,within_across,-2.0,0,300.0
15,241032.0,5.0,1.0,9.0,right,0.6676163822412491,3.0,3.0,B,A,B,across,within,across_within,0.0,1,300.0
16,241032.0,5.0,7.0,6.0,right,0.539814586751163,1.0,1.0,B,B,B,within,within,within_within,0.0,1,300.0
17,241032.0,6.0,8.0,0.0,left,1.9139834083616731,1.0,5.0,B,B,A,within,across,within_across,-4.0,0,300.0
18,241032.0,4.0,5.0,2.0,left,0.6172263799235225,1.0,1.0,A,B,A,across,within,across_within,0.0,0,300.0
19,241032.0,4.0,8.0,0.0,left,0.9060330176725984,3.0,3.0,A,B,A,across,within,across_within,0.0,0,300.0
20,242000.0,4.0,1.0,7.0,right,3.5846948623657227,2.0,2.0,A,A,B,within,across,within_across,0.0,1,300.0
21,242000.0,5.0,3.0,8.0,left,5.882223129272461,2.0,2.0,B,A,B,across,within,across_within,0.0,0,300.0
22,242000.0,5.0,8.0,2.0,right,1.3311290740966797,2.0,2.0,B,B,A,within,across,within_across,0.0,1,300.0
23,242000.0,7.0,4.0,5.0,right,1.9490220546722408,2.0,1.0,B,A,B,across,within,across_within,1.0,1,300.0
24,242000.0,2.0,0.0,8.0,left,1.067828893661499,2.0,4.0,A,A,B,within,across,within_across,-2.0,0,300.0
25,242000.0,3.0,8.0,6.0,right,1.360023021697998,4.0,3.0,A,B,B,across,across,across_across,1.0,1,300.0
26,242000.0,4.0,1.0,6.0,left,2.483381986618042,2.0,2.0,A,A,B,within,across,within_across,0.0,0,300.0
