,Prolific ID,test_index,num_feats,Correct Response,test_key_resp.corr,test_key_resp.rt,graph_type
0,668504e60ac07bf4d1deef53,39.0,4.0,left,1.0,1.7654,structured
1,668504e60ac07bf4d1deef53,32.0,3.0,left,0.0,2.0804,structured
2,668504e60ac07bf4d1deef53,43.0,4.0,right,1.0,1.3208,structured
3,668504e60ac07bf4d1deef53,24.0,3.0,left,1.0,1.9494,structured
4,668504e60ac07bf4d1deef53,16.0,2.0,left,1.0,1.8651,structured
5,668504e60ac07bf4d1deef53,33.0,3.0,right,0.0,1.6574,structured
6,668504e60ac07bf4d1deef53,28.0,3.0,left,0.0,2.1808,structured
7,668504e60ac07bf4d1deef53,36.0,4.0,left,1.0,2.204,structured
8,668504e60ac07bf4d1deef53,29.0,3.0,right,1.0,3.5182,structured
9,668504e60ac07bf4d1deef53,30.0,3.0,left,1.0,3.3936,structured
10,668504e60ac07bf4d1deef53,5.0,1.0,right,0.0,3.3194,structured
11,668504e60ac07bf4d1deef53,34.0,3.0,left,1.0,3.712,structured
12,668504e60ac07bf4d1deef53,38.0,4.0,left,1.0,2.4212,structured
13,668504e60ac07bf4d1deef53,13.0,2.0,right,0.0,1.7508,structured
14,668504e60ac07bf4d1deef53,18.0,2.0,left,1.0,2.2601,structured
15,668504e60ac07bf4d1deef53,2.0,1.0,right,1.0,2.6577,structured
16,668504e60ac07bf4d1deef53,10.0,1.0,right,0.0,3.4276,structured
17,668504e60ac07bf4d1deef53,9.0,1.0,left,1.0,4.7835,structured
18,668504e60ac07bf4d1deef53,7.0,1.0,right,0.0,2.1732,structured
19,668504e60ac07bf4d1deef53,25.0,3.0,right,1.0,4.9334,structured
20,668504e60ac07bf4d1deef53,22.0,2.0,right,0.0,3.4321,structured
21,668504e60ac07bf4d1deef53,27.0,3.0,left,1.0,3.2843,structured
22,668504e60ac07bf4d1deef53,1.0,1.0,right,1.0,4.0809,structured
23,668504e60ac07bf4d1deef53,44.0,4.0,left,1.0,2.4903,structured
24,668504e60ac07bf4d1deef53,42.0,4.0,right,1.0,1.9501,structured
25,668504e60ac07bf4d1deef53,45.0,4.0,right,1.0,3.1147,structured
26,668504e60ac07bf4d1deef53,20.0,2.0,left,1.0,3.6151,structured
27,668504e60ac07bf4d1deef53,26.0,3.0,right,1.0,1.5865,structured
28,668504e60ac07bf4d1deef53,31.0,3.0,right,1.0,1.8547,structured
29,668504e60ac07bf4d1deef53,46.0,4.0,right,1.0,3.7486,structured
30,668504e60ac07bf4d1deef53,12.0,2.0,left,1.0,2.1125,structured
31,668504e60ac07bf4d1deef53,21.0,2.0,right,1.0,3.8651,structured
32,668504e60ac07bf4d1deef53,4.0,1.0,right,1.0,6.0656,structured
33,668504e60ac07bf4d1deef53,17.0,2.0,left,0.0,9.2724,structured
34,668504e60ac07bf4d1deef53,47.0,4.0,left,1.0,3.7979,structured
35,668504e60ac07bf4d1deef53,6.0,1.0,right,1.0,5.5141,structured
36,668504e60ac07bf4d1deef53,14.0,2.0,right,1.0,3.5631,structured
37,668504e60ac07bf4d1deef53,8.0,1.0,right,1.0,2.8659,structured
38,668504e60ac07bf4d1deef53,41.0,4.0,right,0.0,3.4188,structured
39,668504e60ac07bf4d1deef53,23.0,2.0,left,0.0,3.1598,structured
40,668504e60ac07bf4d1deef53,40.0,4.0,left,1.0,3.0356,structured
41,668504e60ac07bf4d1deef53,37.0,4.0,left,1.0,3.8158,structured
42,668504e60ac07bf4d1deef53,11.0,1.0,right,1.0,2.8965,structured
43,668504e60ac07bf4d1deef53,35.0,3.0,right,1.0,17.4368,structured
44,668504e60ac07bf4d1deef53,3.0,1.0,left,1.0,9.4952,structured
45,668504e60ac07bf4d1deef53,15.0,2.0,right,1.0,5.0276,structured
46,668504e60ac07bf4d1deef53,0.0,1.0,right,0.0,11.015,structured
47,668504e60ac07bf4d1deef53,19.0,2.0,left,1.0,6.4971,structured
0,5fdee9abe7fadb6d92418b3a,20.0,2.0,left,1.0,3.2153,structured
1,5fdee9abe7fadb6d92418b3a,40.0,4.0,right,1.0,4.2648,structured
2,5fdee9abe7fadb6d92418b3a,6.0,1.0,left,0.0,6.2323,structured
3,5fdee9abe7fadb6d92418b3a,1.0,1.0,left,0.0,4.5811,structured
4,5fdee9abe7fadb6d92418b3a,7.0,1.0,left,1.0,3.8894,structured
5,5fdee9abe7fadb6d92418b3a,46.0,4.0,left,0.0,7.1942,structured
6,5fdee9abe7fadb6d92418b3a,19.0,2.0,right,0.0,7.3878,structured
7,5fdee9abe7fadb6d92418b3a,33.0,3.0,left,0.0,3.2963,structured
8,5fdee9abe7fadb6d92418b3a,21.0,2.0,left,0.0,10.4592,structured
9,5fdee9abe7fadb6d92418b3a,5.0,1.0,left,0.0,6.3884,structured
10,5fdee9abe7fadb6d92418b3a,15.0,2.0,left,0.0,8.434,structured
11,5fdee9abe7fadb6d92418b3a,28.0,3.0,left,0.0,4.2739,structured
12,5fdee9abe7fadb6d92418b3a,0.0,1.0,left,0.0,9.0126,structured
13,5fdee9abe7fadb6d92418b3a,22.0,2.0,right,1.0,9.7771,structured
14,5fdee9abe7fadb6d92418b3a,12.0,2.0,right,1.0,13.879,structured
15,5fdee9abe7fadb6d92418b3a,3.0,1.0,left,1.0,8.5678,structured
16,5fdee9abe7fadb6d92418b3a,32.0,3.0,right,0.0,8.6835,structured
17,5fdee9abe7fadb6d92418b3a,26.0,3.0,right,1.0,8.3218,structured
18,5fdee9abe7fadb6d92418b3a,27.0,3.0,right,1.0,6.2341,structured
19,5fdee9abe7fadb6d92418b3a,9.0,1.0,left,1.0,7.0335,structured
20,5fdee9abe7fadb6d92418b3a,47.0,4.0,right,1.0,20.9794,structured
21,5fdee9abe7fadb6d92418b3a,36.0,4.0,right,0.0,7.1279,structured
22,5fdee9abe7fadb6d92418b3a,45.0,4.0,right,1.0,16.0878,structured
23,5fdee9abe7fadb6d92418b3a,39.0,4.0,right,1.0,4.4002,structured
24,5fdee9abe7fadb6d92418b3a,25.0,3.0,right,1.0,10.7203,structured
25,5fdee9abe7fadb6d92418b3a,10.0,1.0,left,0.0,14.9436,structured
26,5fdee9abe7fadb6d92418b3a,23.0,2.0,left,1.0,12.3106,structured
27,5fdee9abe7fadb6d92418b3a,34.0,3.0,right,0.0,5.4975,structured
28,5fdee9abe7fadb6d92418b3a,44.0,4.0,left,1.0,14.7265,structured
29,5fdee9abe7fadb6d92418b3a,42.0,4.0,right,1.0,5.1896,structured
30,5fdee9abe7fadb6d92418b3a,17.0,2.0,left,0.0,10.8473,structured
31,5fdee9abe7fadb6d92418b3a,24.0,3.0,left,0.0,7.2521,structured
32,5fdee9abe7fadb6d92418b3a,18.0,2.0,right,0.0,15.8228,structured
33,5fdee9abe7fadb6d92418b3a,16.0,2.0,left,0.0,9.0025,structured
34,5fdee9abe7fadb6d92418b3a,30.0,3.0,right,0.0,8.5012,structured
35,5fdee9abe7fadb6d92418b3a,31.0,3.0,left,1.0,10.9578,structured
36,5fdee9abe7fadb6d92418b3a,43.0,4.0,left,1.0,13.9191,structured
37,5fdee9abe7fadb6d92418b3a,29.0,3.0,left,1.0,7.7168,structured
38,5fdee9abe7fadb6d92418b3a,4.0,1.0,right,0.0,7.5426,structured
39,5fdee9abe7fadb6d92418b3a,41.0,4.0,right,1.0,12.9415,structured
40,5fdee9abe7fadb6d92418b3a,38.0,4.0,right,1.0,9.8788,structured
41,5fdee9abe7fadb6d92418b3a,14.0,2.0,left,1.0,6.1364,structured
42,5fdee9abe7fadb6d92418b3a,11.0,1.0,left,0.0,19.7306,structured
