,Prolific ID,test_index,num_feats,Correct Response,test_key_resp.corr,test_key_resp.rt,test_key_resp.keys,graph_type,dims
0,663a7e442f4600c1dc410725,41.0,4.0,right,1.0,1.8483,right,unstructured,odd
1,663a7e442f4600c1dc410725,5.0,1.0,right,1.0,0.8075,right,unstructured,odd
2,663a7e442f4600c1dc410725,45.0,4.0,left,1.0,1.8457,left,unstructured,odd
3,663a7e442f4600c1dc410725,30.0,3.0,left,1.0,3.0121,left,unstructured,odd
4,663a7e442f4600c1dc410725,9.0,1.0,left,1.0,4.2204,left,unstructured,odd
5,663a7e442f4600c1dc410725,42.0,4.0,right,1.0,1.2875,right,unstructured,odd
6,663a7e442f4600c1dc410725,13.0,2.0,left,1.0,1.327,left,unstructured,odd
7,663a7e442f4600c1dc410725,4.0,1.0,right,1.0,3.0011,right,unstructured,odd
8,663a7e442f4600c1dc410725,17.0,2.0,right,1.0,1.9656,right,unstructured,odd
9,663a7e442f4600c1dc410725,12.0,2.0,left,1.0,1.7306,left,unstructured,odd
10,663a7e442f4600c1dc410725,3.0,1.0,left,0.0,3.3925,right,unstructured,odd
11,663a7e442f4600c1dc410725,43.0,4.0,right,1.0,2.9115,right,unstructured,odd
12,663a7e442f4600c1dc410725,6.0,1.0,left,1.0,3.6838,left,unstructured,odd
13,663a7e442f4600c1dc410725,34.0,3.0,left,1.0,1.4863,left,unstructured,odd
14,663a7e442f4600c1dc410725,22.0,2.0,left,1.0,1.7197,left,unstructured,odd
15,663a7e442f4600c1dc410725,11.0,1.0,left,1.0,3.3029,left,unstructured,odd
16,663a7e442f4600c1dc410725,18.0,2.0,left,1.0,1.7232,left,unstructured,odd
17,663a7e442f4600c1dc410725,24.0,3.0,left,1.0,1.1365,left,unstructured,odd
18,663a7e442f4600c1dc410725,15.0,2.0,left,1.0,1.422,left,unstructured,odd
19,663a7e442f4600c1dc410725,27.0,3.0,right,1.0,1.2284,right,unstructured,odd
20,663a7e442f4600c1dc410725,29.0,3.0,right,1.0,1.3742,right,unstructured,odd
21,663a7e442f4600c1dc410725,25.0,3.0,left,1.0,2.171,left,unstructured,odd
22,663a7e442f4600c1dc410725,36.0,4.0,left,1.0,0.9302,left,unstructured,odd
23,663a7e442f4600c1dc410725,37.0,4.0,right,1.0,1.4604,right,unstructured,odd
24,663a7e442f4600c1dc410725,31.0,3.0,left,1.0,1.4835,left,unstructured,odd
25,663a7e442f4600c1dc410725,16.0,2.0,right,1.0,1.4278,right,unstructured,odd
26,663a7e442f4600c1dc410725,19.0,2.0,left,1.0,1.2178,left,unstructured,odd
27,663a7e442f4600c1dc410725,0.0,1.0,left,1.0,1.8593,left,unstructured,odd
28,663a7e442f4600c1dc410725,33.0,3.0,right,1.0,1.463,right,unstructured,odd
29,663a7e442f4600c1dc410725,44.0,4.0,right,1.0,2.3076,right,unstructured,odd
30,663a7e442f4600c1dc410725,10.0,1.0,right,1.0,1.8413,right,unstructured,odd
31,663a7e442f4600c1dc410725,23.0,2.0,right,1.0,3.48,right,unstructured,odd
32,663a7e442f4600c1dc410725,21.0,2.0,left,1.0,3.6682,left,unstructured,odd
33,663a7e442f4600c1dc410725,47.0,4.0,left,1.0,1.3552,left,unstructured,odd
34,663a7e442f4600c1dc410725,2.0,1.0,left,1.0,1.8324,left,unstructured,odd
35,663a7e442f4600c1dc410725,39.0,4.0,left,1.0,2.2909,left,unstructured,odd
36,663a7e442f4600c1dc410725,26.0,3.0,left,1.0,1.3216,left,unstructured,odd
37,663a7e442f4600c1dc410725,46.0,4.0,left,1.0,1.7236,left,unstructured,odd
38,663a7e442f4600c1dc410725,35.0,3.0,right,1.0,0.7496,right,unstructured,odd
39,663a7e442f4600c1dc410725,28.0,3.0,left,1.0,1.3442,left,unstructured,odd
40,663a7e442f4600c1dc410725,38.0,4.0,left,1.0,1.4937,left,unstructured,odd
41,663a7e442f4600c1dc410725,14.0,2.0,right,1.0,0.9172,right,unstructured,odd
42,663a7e442f4600c1dc410725,40.0,4.0,right,1.0,1.5767,right,unstructured,odd
43,663a7e442f4600c1dc410725,8.0,1.0,right,0.0,4.1908,left,unstructured,odd
44,663a7e442f4600c1dc410725,7.0,1.0,left,0.0,2.4461,right,unstructured,odd
45,663a7e442f4600c1dc410725,1.0,1.0,right,1.0,1.607,right,unstructured,odd
46,663a7e442f4600c1dc410725,20.0,2.0,right,0.0,2.2066,left,unstructured,odd
47,663a7e442f4600c1dc410725,32.0,3.0,right,1.0,1.7396,right,unstructured,odd
48,668e88360b94bd0236a83214,5.0,1.0,left,0.0,4.074,right,unstructured,odd
49,668e88360b94bd0236a83214,40.0,4.0,right,1.0,35.821,right,unstructured,odd
50,668e88360b94bd0236a83214,42.0,4.0,left,1.0,21.222,left,unstructured,odd
51,668e88360b94bd0236a83214,32.0,3.0,left,0.0,9.136,right,unstructured,odd
52,668e88360b94bd0236a83214,0.0,1.0,right,0.0,3.609,left,unstructured,odd
53,668e88360b94bd0236a83214,18.0,2.0,right,0.0,3.019,left,unstructured,odd
54,668e88360b94bd0236a83214,20.0,2.0,right,0.0,6.718,left,unstructured,odd
55,668e88360b94bd0236a83214,33.0,3.0,left,1.0,8.241,left,unstructured,odd
56,668e88360b94bd0236a83214,1.0,1.0,right,1.0,6.54,right,unstructured,odd
57,668e88360b94bd0236a83214,8.0,1.0,left,0.0,3.078,right,unstructured,odd
58,668e88360b94bd0236a83214,47.0,4.0,left,1.0,10.608,left,unstructured,odd
59,668e88360b94bd0236a83214,34.0,3.0,left,0.0,1.923,right,unstructured,odd
60,668e88360b94bd0236a83214,35.0,3.0,left,1.0,3.028,left,unstructured,odd
61,668e88360b94bd0236a83214,30.0,3.0,left,0.0,9.406,right,unstructured,odd
62,668e88360b94bd0236a83214,38.0,4.0,left,1.0,11.19,left,unstructured,odd
63,668e88360b94bd0236a83214,45.0,4.0,right,1.0,16.293,right,unstructured,odd
64,668e88360b94bd0236a83214,41.0,4.0,right,0.0,1.431,left,unstructured,odd
65,668e88360b94bd0236a83214,46.0,4.0,right,1.0,1.36,right,unstructured,odd
66,668e88360b94bd0236a83214,23.0,2.0,left,1.0,0.719,left,unstructured,odd
67,668e88360b94bd0236a83214,21.0,2.0,left,0.0,2.372,right,unstructured,odd
68,668e88360b94bd0236a83214,25.0,3.0,left,1.0,0.888,left,unstructured,odd
69,668e88360b94bd0236a83214,24.0,3.0,left,0.0,1.774,right,unstructured,odd
70,668e88360b94bd0236a83214,12.0,2.0,left,1.0,2.908,left,unstructured,odd
71,668e88360b94bd0236a83214,27.0,3.0,right,1.0,1.773,right,unstructured,odd
72,668e88360b94bd0236a83214,44.0,4.0,left,1.0,0.81,left,unstructured,odd
73,668e88360b94bd0236a83214,17.0,2.0,right,0.0,2.244,left,unstructured,odd
74,668e88360b94bd0236a83214,43.0,4.0,right,1.0,15.801,right,unstructured,odd
75,668e88360b94bd0236a83214,4.0,1.0,right,0.0,2.064,left,unstructured,odd
76,668e88360b94bd0236a83214,2.0,1.0,left,0.0,2.275,right,unstructured,odd
77,668e88360b94bd0236a83214,39.0,4.0,right,1.0,2.499,right,unstructured,odd
78,668e88360b94bd0236a83214,36.0,4.0,right,1.0,7.139,right,unstructured,odd
79,668e88360b94bd0236a83214,13.0,2.0,right,0.0,14.277,left,unstructured,odd
80,668e88360b94bd0236a83214,16.0,2.0,left,0.0,2.672,right,unstructured,odd
81,668e88360b94bd0236a83214,29.0,3.0,left,1.0,3.506,left,unstructured,odd
82,668e88360b94bd0236a83214,31.0,3.0,left,0.0,1.899,right,unstructured,odd
83,668e88360b94bd0236a83214,28.0,3.0,right,1.0,4.324,right,unstructured,odd
84,668e88360b94bd0236a83214,3.0,1.0,right,0.0,17.528,left,unstructured,odd
85,668e88360b94bd0236a83214,26.0,3.0,right,0.0,1.911,left,unstructured,odd
86,668e88360b94bd0236a83214,14.0,2.0,left,0.0,1.194,right,unstructured,odd
87,668e88360b94bd0236a83214,22.0,2.0,right,0.0,2.558,left,unstructured,odd
88,668e88360b94bd0236a83214,6.0,1.0,right,0.0,3.224,left,unstructured,odd
89,668e88360b94bd0236a83214,9.0,1.0,right,0.0,1.435,left,unstructured,odd
90,668e88360b94bd0236a83214,15.0,2.0,left,1.0,1.694,left,unstructured,odd
91,668e88360b94bd0236a83214,10.0,1.0,right,0.0,1.29,left,unstructured,odd
92,668e88360b94bd0236a83214,37.0,4.0,right,0.0,2.162,left,unstructured,odd
93,668e88360b94bd0236a83214,7.0,1.0,left,1.0,0.789,left,unstructured,odd
94,668e88360b94bd0236a83214,11.0,1.0,right,1.0,1.053,right,unstructured,odd
95,668e88360b94bd0236a83214,19.0,2.0,left,1.0,1.079,left,unstructured,odd
96,669d1e13adb50bc8c5501033,1.0,1.0,right,1.0,4.842,right,unstructured,odd
97,669d1e13adb50bc8c5501033,20.0,2.0,right,0.0,6.335,left,unstructured,odd
98,669d1e13adb50bc8c5501033,13.0,2.0,right,1.0,7.475,right,unstructured,odd
99,669d1e13adb50bc8c5501033,21.0,2.0,right,0.0,3.094,left,unstructured,odd
100,669d1e13adb50bc8c5501033,41.0,4.0,right,1.0,4.165,right,unstructured,odd
101,669d1e13adb50bc8c5501033,37.0,4.0,right,1.0,5.507,right,unstructured,odd
102,669d1e13adb50bc8c5501033,31.0,3.0,left,1.0,4.14,left,unstructured,odd
103,669d1e13adb50bc8c5501033,40.0,4.0,left,1.0,3.835,left,unstructured,odd
104,669d1e13adb50bc8c5501033,18.0,2.0,left,0.0,2.264,right,unstructured,odd
105,669d1e13adb50bc8c5501033,33.0,3.0,right,0.0,3.192,left,unstructured,odd
106,669d1e13adb50bc8c5501033,35.0,3.0,left,1.0,2.48,left,unstructured,odd
107,669d1e13adb50bc8c5501033,9.0,1.0,right,0.0,2.994,left,unstructured,odd
108,669d1e13adb50bc8c5501033,42.0,4.0,right,1.0,4.104,right,unstructured,odd
109,669d1e13adb50bc8c5501033,7.0,1.0,right,0.0,1.969,left,unstructured,odd
110,669d1e13adb50bc8c5501033,43.0,4.0,right,1.0,3.413,right,unstructured,odd
111,669d1e13adb50bc8c5501033,32.0,3.0,left,0.0,2.278,right,unstructured,odd
112,669d1e13adb50bc8c5501033,34.0,3.0,left,0.0,3.799,right,unstructured,odd
